--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site			Binding Position						Surface Position
Site 49	[11.05417714 17.22767901 12.05789612] 	[10.85856333 16.17114667 12.29342667]
Site 50	[12.69025604 15.59843272 11.57849977] 	[11.71827333 15.32979667 12.01791333]
Site 51	[11.32342689  6.24199101 12.41889165] 	[11.16941     7.23278    11.96654667]
Site 52	[12.83559247  6.51632731 12.39774527] 	[12.61983333  7.49445333 11.94308333]
Site 53	[ 7.85795598 17.0651054  12.35369018] 	[ 8.3622     16.10934667 12.14811   ]
Site 54	[ 9.86095505 17.30107498 11.2440512 ] 	[ 9.62202 16.24763 11.45181]
Site 55	[ 7.89587342  6.7524954  11.83665337] 	[ 8.46187333  7.63409    11.50134   ]
Site 56	[ 8.64536757  5.92347723 10.89632683] 	[ 9.20505     6.81186    10.56840667]
Site 57	[10.7265283   5.61897252 11.25103227] 	[10.57428333  6.61148333 10.80187333]
Site 58	[ 6.63119931 15.82412098 11.05464301] 	[ 7.55581667 15.29276    11.32434333]
Site 59	[ 5.83763097 14.65383774 11.63872978] 	[ 6.79325    14.16678    11.88279333]
Site 60	[ 5.9143771   8.82983805 12.35221436] 	[ 6.71092667  9.33744    11.78843333]
Site 61	[ 5.17214824 10.56525764 11.0564839 ] 	[ 6.25731333 10.40412667 10.97615   ]
Site 62	[ 5.18497423 11.60382883 11.56491958] 	[ 6.27450333 11.74352333 11.62333   ]
Site 63	[ 6.60401598  7.44976709 11.32540446] 	[ 7.22896     8.29817667 11.00973667]
Site 64	[13.69718834 14.71153026 11.51695518] 	[13.18613667 13.80127667 11.17016333]
Site 65	[13.32625658 13.75232839 10.44977098] 	[13.14331667 12.94903333 11.17864   ]
Site 66	[13.72972055 13.35818058 11.0335856 ] 	[12.7136     13.40507    10.61489667]
