--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 126	[ 6.78550951 10.00082354  6.96500037]	[ 7.43783722 10.30139153  7.79814348]	[46, 56]
Site 127	[ 6.09642974 11.42839586  7.99263828]	[ 7.09007325 11.4425153   8.46430894]	[46, 61]
Site 128	[12.74344738 14.35175239  7.09158619]	[12.37064509 13.74948877  7.93319001]	[47, 48]
Site 129	[14.60374577 11.83646575  7.3559594 ]	[13.83284908 11.75584399  8.13648385]	[47, 50]
Site 130	[13.92608995 14.4134849   8.41838325]	[13.22547678 13.67806188  8.84063218]	[47, 62]
Site 131	[14.14055195 12.06722833  8.9526197 ]	[13.09653372 12.40039955  8.85763086]	[47, 63]
Site 132	[10.02099196 15.50102891  7.89167216]	[10.24490829 14.67106827  8.57798608]	[48, 57]
Site 133	[12.84940138 15.22314773  8.44901229]	[12.22934722 14.4821423   8.97479151]	[48, 62]
Site 134	[11.37612001 16.16620217  8.97806632]	[11.17739183 15.17334295  9.40787754]	[48, 66]
Site 135	[14.86779522  8.97862291  8.44589119]	[14.04552293  9.43606017  9.01564503]	[50, 60]
Site 136	[14.18798118 12.10189017  9.03719294]	[13.56260815 11.21083519  9.19508402]	[50, 63]
Site 137	[15.44700574 10.12898688  9.69904098]	[14.39766483 10.44109661  9.80614452]	[50, 70]
Site 138	[10.47642345  6.60949076  7.45083377]	[10.45785775  7.45342365  8.15612277]	[52, 54]
Site 139	[7.57569077 7.84903175 7.44155428]	[8.19158176 8.41658311 8.15469083]	[52, 56]
Site 140	[9.3695463  5.97082083 8.12238516]	[9.57647319 6.80898344 8.80404835]	[52, 68]
Site 141	[8.05812373 6.63556614 8.67912631]	[8.57165563 7.54301449 9.02958669]	[52, 71]
Site 142	[ 7.84610334 15.08686463  7.98732201]	[ 8.06826856 14.19232808  8.58769438]	[53, 57]
Site 143	[ 5.74867565 12.46651959  8.47191278]	[ 6.75823292 12.54676785  8.90127782]	[53, 61]
Site 144	[ 6.23282329 14.53871976  9.17210455]	[ 7.07222437 13.83567309  9.27760904]	[53, 72]
Site 145	[13.40126799  7.05117632  8.48291054]	[12.75771601  7.79736057  8.97183785]	[54, 60]
Site 146	[11.06128746  5.74586026  8.43890445]	[10.84192512  6.64444021  9.03424824]	[54, 68]
Site 147	[12.22648687  6.05995987  9.40096141]	[11.8664191   7.07642266  9.6181125 ]	[54, 76]
Site 148	[ 5.85447856 10.33652323  8.56749802]	[ 6.84299374 10.35632312  9.04962425]	[56, 61]
Site 149	[6.9546648  7.57705311 8.76261321]	[7.57083157 8.34163073 9.25835464]	[56, 71]
Site 150	[5.77843106 8.57154829 8.96847331]	[6.59537885 9.11289698 9.468011  ]	[56, 74]
Site 151	[ 9.93805034 16.27747102  9.44467716]	[10.04778459 15.29084202  9.91851429]	[57, 66]
Site 152	[ 7.50791641 15.21008357  9.2982122 ]	[ 8.11925687 14.43191235  9.7785375 ]	[57, 72]
Site 153	[ 8.48537395 16.29878043  9.10395261]	[ 8.73682387 15.59426513  9.91044571]	[57, 73]
Site 154	[14.65713598 14.25198518 10.44267945]	[13.74582206 13.68367272 10.6804354 ]	[59, 62]
Site 155	[14.39000741 12.40610094  9.91495567]	[13.616879   12.4060104  10.69743408]	[59, 63]
Site 156	[15.54892223 11.68190021 11.24112568]	[14.45193568 11.63627182 11.30849457]	[59, 70]
Site 157	[15.19977055  9.01636371 10.25210137]	[14.14426425  9.31087716 10.34785253]	[60, 70]
Site 158	[13.4394622   6.66768679  9.92329715]	[12.90082544  7.58490281 10.20362769]	[60, 76]
Site 159	[ 5.84731961 13.13789621  9.69067101]	[ 6.80922122 12.78635212 10.09212093]	[61, 72]
Site 160	[ 5.26530055 10.28336239  9.64001291]	[ 6.24761488 10.25402075 10.13417646]	[61, 74]
Site 161	[ 5.19971573 12.39364094 10.83668016]	[ 6.26395    12.27011783 11.08597404]	[61, 77]
Site 162	[13.86235163 13.03333482  9.28506852]	[12.95523585 13.13305308  9.89923236]	[62, 63]
Site 163	[12.50393038 16.03463004  9.97248264]	[12.03222351 15.10191606 10.31531971]	[62, 66]
Site 164	[14.43750822 11.34380857  9.79181014]	[13.66134947 11.08565218 10.52729152]	[63, 70]
